time,open,high,low,close,volume
2013-11-12,70.0,76.0,60.0,72.0,603818.0
2013-11-13,72.4000015258789,72.4000015258789,68.0,69.0,39126.0
2013-11-14,69.0,69.0,60.0,66.5,212348.0
2013-11-15,66.62000274658203,68.0,65.0,66.5,14829.0
2013-11-18,68.0,68.0,68.0,67.5,4512.0
2013-11-19,68.0,68.0,65.05000305175781,66.5,13000.0
2013-11-20,65.0,65.0,60.0,62.5,24923.0
2013-11-21,64.44999694824219,65.0,64.44999694824219,63.5,47000.0
2013-11-22,65.0,65.0,63.0,63.5,53308.0
2013-11-25,64.0,64.0,62.0,63.5,5791.0
2013-11-26,64.0,64.0,64.0,63.5,600.0
2013-11-27,64.0,64.0,62.029998779296875,63.5,2723.0
2013-11-28,62.0,62.0,60.0,61.5,14044.0
2013-11-29,60.0,61.650001525878906,60.0,61.5,5250.0
2013-12-02,61.650001525878906,61.650001525878906,61.650001525878906,60.5,1191.0
2013-12-03,60.75,60.75,60.75,60.5,162.0
2013-12-04,60.5,60.5,60.5,60.5,0.0
2013-12-05,58.0,62.0,58.0,60.0,15882.0
2013-12-06,60.20000076293945,60.20000076293945,58.0,58.5,15677.0
2013-12-09,59.900001525878906,59.900001525878906,56.0,58.5,10051.0
2013-12-10,57.0,57.0,57.0,57.0,12018.0
2013-12-11,55.0,55.0,55.0,55.0,13871.0
2013-12-12,53.0,53.0,47.0,51.0,46665.0
2013-12-13,48.0,48.0,45.0,45.5,38225.0
2013-12-16,45.0,45.0,45.0,45.5,5207.0
2013-12-17,45.0,45.0,41.0,42.0,16738.0
2013-12-18,42.54999923706055,45.0,42.0,44.5,51310.0
2013-12-19,45.0,52.0,45.0,50.5,262538.0
2013-12-20,51.0,52.0,50.0,50.5,60820.0
2013-12-23,51.0,51.0,51.0,50.5,74.0
2013-12-24,50.5,50.5,50.5,50.5,0.0
2013-12-27,49.0,49.0,49.0,50.5,6730.0
2013-12-30,50.5,50.5,50.5,50.5,0.0
2013-12-31,47.5,52.0,47.5,50.5,39829.0
2014-01-02,50.0,52.0,50.0,50.5,125000.0
2014-01-03,49.5,49.5,49.5,49.5,0.0
2014-01-06,52.0,80.0,52.0,76.0,300438.0
2014-01-07,76.13999938964844,86.0,76.13999938964844,83.5,222652.0
